,shortName,sector,industry,country,market,2022-07-18 00:00:00,2022-07-19 00:00:00,2022-07-20 00:00:00,2022-07-21 00:00:00,2022-07-22 00:00:00,2022-07-25 00:00:00,2022-07-26 00:00:00,2022-07-27 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,2022-08-04 00:00:00,2022-08-05 00:00:00,2022-08-08 00:00:00,2022-08-09 00:00:00,2022-08-10 00:00:00,2022-08-11 00:00:00,2022-08-12 00:00:00,2022-08-15 00:00:00,2022-08-16 00:00:00,2022-08-17 00:00:00,2022-08-18 00:00:00
21,"Evolent Health, Inc",Healthcare,Health Information Services,United States,us_market,31.5,32.5099983215332,32.45000076293945,33.77000045776367,32.97999954223633,33.4900016784668,33.529998779296875,33.70000076293945,34.220001220703125,33.9900016784668,34.790000915527344,35.209999084472656,36.5,35.58000183105469,35.7400016784668,35.36000061035156,35.150001525878906,35.68000030517578,35.86000061035156,34.93000030517578,34.11000061035156,33.11000061035156,34.470001220703125,
22,Medicenna Therapeutics Corp.,Healthcare,Biotechnology,Canada,us_market,1.4989999532699585,1.4800000190734863,1.4500000476837158,1.3700000047683716,1.399999976158142,1.3700000047683716,1.3899999856948853,1.5199999809265137,1.5099999904632568,1.5399999618530273,1.590000033378601,1.5800000429153442,1.5199999809265137,1.5700000524520874,1.7000000476837158,1.7790000438690186,0.949999988079071,1.031000018119812,1.0,1.0700000524520874,0.9800000190734863,0.9909999966621399,1.0499999523162842,
23,Sociedad Quimica y Minera S.A.,Basic Materials,Specialty Chemicals,Chile,us_market,85.8499984741211,89.23999786376953,88.76000213623047,92.0,90.62000274658203,95.41000366210938,93.63999938964844,97.01000213623047,97.26000213623047,98.37000274658203,98.04000091552734,98.0999984741211,94.94999694824219,94.73999786376953,92.79000091552734,96.08000183105469,97.44999694824219,101.12000274658203,101.77999877929688,108.69999694824219,111.41000366210938,105.69999694824219,104.41999816894531,
24,3I GROUP UNSP ADR EACH REPR 0.5,Financial Services,Asset Management,United Kingdom,us_market,7.099999904632568,7.139999866485596,7.2270002365112305,7.510000228881836,7.440000057220459,7.5,7.434999942779541,7.630000114440918,7.739999771118164,7.929999828338623,7.914999961853027,7.789999961853027,7.78000020980835,7.760000228881836,7.559999942779541,7.75,7.5,7.889999866485596,7.829999923706055,7.940000057220459,7.800000190734863,7.699999809265137,8.010000228881836,
25,"Tilray Brands, Inc. - Class 2",Healthcare,Drug Manufacturers—Specialty & Generic,Canada,us_market,3.4000000953674316,3.559999942779541,3.940000057220459,3.75,3.5,3.5399999618530273,3.380000114440918,3.259999990463257,3.6500000953674316,3.6500000953674316,3.4200000762939453,3.9000000953674316,3.880000114440918,4.03000020980835,3.9000000953674316,4.300000190734863,3.8399999141693115,4.059999942779541,3.8499999046325684,4.03000020980835,4.289999961853027,4.199999809265137,4.059999942779541,
26,Intel Corporation,Technology,Semiconductors,United States,us_market,38.32311248779297,39.818023681640625,40.154624938964844,40.204124450683594,38.8082160949707,38.76861572265625,38.570613861083984,39.778419494628906,39.31311798095703,35.94710159301758,36.59060287475586,35.65009689331055,36.15500259399414,35.65999984741211,35.38999938964844,35.380001068115234,34.52000045776367,35.369998931884766,35.59000015258789,36.11000061035156,36.34000015258789,36.189998626708984,35.779998779296875,
27,"BJ's Wholesale Club Holdings, I",Consumer Defensive,Discount Stores,United States,us_market,69.29000091552734,68.94999694824219,69.7699966430664,69.13999938964844,69.45999908447266,68.94999694824219,67.66000366210938,67.9800033569336,67.69000244140625,67.69999694824219,69.41999816894531,69.23999786376953,69.4800033569336,69.36000061035156,70.5,70.9800033569336,70.51000213623047,70.80999755859375,69.55999755859375,68.29000091552734,69.11000061035156,69.23999786376953,69.12999725341797,
28,Itau Unibanco Banco Holding SA,Financial Services,Banks—Regional,Brazil,us_market,4.187206745147705,4.307126522064209,4.257160186767578,4.257160186767578,4.187206745147705,4.347099781036377,4.337106704711914,4.437039852142334,4.556960105895996,4.496999740600586,4.489999771118164,4.440000057220459,4.480000019073486,4.650000095367432,4.789999961853027,4.889999866485596,5.0,5.139999866485596,5.070000171661377,5.210000038146973,5.25,5.25,5.25,
29,TECHTRONIC INDUSTRIES CO ADR EA,Industrials,Tools & Accessories,Hong Kong,us_market,55.400001525878906,54.79999923706055,57.34000015258789,59.599998474121094,57.11000061035156,57.54999923706055,56.029998779296875,57.0,57.52000045776367,55.529998779296875,54.7599983215332,55.720001220703125,56.029998779296875,57.310001373291016,59.70000076293945,58.880001068115234,57.029998779296875,56.75,60.900001525878906,59.91999816894531,61.0099983215332,61.70000076293945,67.04000091552734,
30,Comp En De Mn Cemig,Utilities,Utilities—Diversified,Brazil,us_market,1.9500000476837158,1.9700000286102295,1.940000057220459,1.9500000476837158,1.9600000381469727,2.049999952316284,2.0399999618530273,2.200000047683716,2.2200000286102295,2.2200000286102295,2.180000066757202,2.180000066757202,2.200000047683716,2.2699999809265137,2.309999942779541,2.390000104904175,2.4100000858306885,2.450000047683716,2.4200000762939453,2.4800000190734863,2.4700000286102295,2.4600000381469727,2.569999933242798,
